Participant ID,Timestamp,Global Time (seconds),Note
2,2025-10-29T17:50:01.739Z,219,"Participant thought to cross physical arms rather than glasses arms per instructions."
2,2025-10-29T17:51:49.106Z,326,"Participant notes that she already completed a setup step and instructions brought her back to the same step."
2,2025-10-29T17:52:12.279Z,349,"“On button is unclear.”"
2,2025-10-29T17:53:55.535Z,452,"Participant states that she “does not know what’s happening.”"
2,2025-10-29T17:55:44.367Z,561,"Participant states setup is not intuitive, especially to a novel user."
2,2025-10-29T17:58:10.966Z,708,"LED light pulsing was unclear and participant had to start over."
2,2025-10-29T17:59:53.248Z,810,"Patient notes the style of the glasses is “not horrific”"
2,2025-10-29T18:10:14.106Z,1431,"Exponent researcher stepped in to troubleshoot after participant was unable to successfully pair the device. After pairing, participant was told to unpair device."
2,2025-10-29T18:10:42.774Z,1460,"Participant has again reached the point where she is told to unpair the device."
2,2025-10-29T18:11:11.950Z,1489,"Participant was able to advance to the step where they can pair the neural band."
2,2025-10-29T18:19:33.541Z,1990,"Participant able to pair successfully and starting guided setup tour."
2,2025-10-29T18:27:03.048Z,2440,"Session ended early."
2,2025-10-29T18:32:12.667Z,2750,"Resuming session with new participant (other group)."
2,2025-10-29T18:35:31.157Z,2948,"Feels 60% comfortable with the device at this point."
2,2025-10-29T18:38:51.379Z,3148,"When they were able to do gestures properly the device was very responsive."
2,2025-10-29T18:39:18.256Z,3175,"Some gestures less intuitive than others."
2,2025-10-29T18:40:54.742Z,3272,"Participant tried to tune moderators out in order to better focus on instructions."
