Participant ID,Timestamp,Global Time (seconds),Note
RSI,2026-01-22 13:19:56.481,62,"User has worn the glasses, and is instructed on task to message moderator while watching video on youtube"
RSI,2026-01-22 13:21:43.744,169,"User is having to repeat the moderator’s name multiple times"
RSI,2026-01-22 13:22:27.147,213,"User’s workflow is very disjointed due to meta not recognizing moderator’s name"
RSI,2026-01-22 13:25:02.448,368,"Meta not picking up full sentences while messaging on whatsapp"
RSI,2026-01-22 13:26:10.624,436,"User is seated on couch, legs crossed, leant back, watching YouTube video"
RSI,2026-01-22 13:43:58.188,1504,"User is requested to switch to dark green armchair from the couch"
RSI,2026-01-22 13:46:08.514,1634,"User is engaged in WhatsApp conversation, with only trouble coming when user mentions’s moderator’s name"
RSI,2026-01-22 13:47:50.230,1736,"User finds workflow of speaking harder than texting by hand"
RSI,2026-01-22 13:49:04.678,1810,"User is instructed to move to next task, scavenger hunt"
RSI,2026-01-22 13:51:39.817,1965,"User is requested to move to couch, they sit back and start asking scavenger hunt questions"
RSI,2026-01-22 13:52:49.000,2035,"User has to repeat questions and commands often, this pair of glasses might have a faulty microphone"
RSI,2026-01-22 14:19:59.968,3666,"User is instructed to move to next task, audio call on whatsapp"
RSI,2026-01-22 14:20:19.324,3685,"User is requested to switch from couch to light green armchair"
RSI,2026-01-22 14:36:48.638,4674,"User is instructed to move to next task of watching reels"
RSI,2026-01-22 14:37:06.129,4692,"User is requested to move from light green armchair to couch"
RSI,2026-01-22 14:55:01.161,5767,"User adjusts glasses slightly"
