Participant ID,Timestamp,Global Time (seconds),Note
GTR,2025-12-01 12:35:28.666,112,"Participant is not familiar with Apple products and was unsure about how to prompt the unlock code screen"
GTR,2025-12-01 12:40:25.954,410,"Meta AI app would not allow participant to continue onto next step after neural band and glasses had been paired"
GTR,2025-12-01 12:41:48.244,492,"Meta AI app alerting user that it cannot connect to glasses"
GTR,2025-12-01 12:44:03.240,627,"Participant listening to voice commands about hand gesture tutorial and is thinking out loud while attempting hand gesture being described"
GTR,2025-12-01 12:46:38.956,783,"Participant’s intuition for clicking on something within MR display is to press thumb down similar while hand is positioned for scrolling gesture"
GTR,2025-12-01 12:47:51.983,856,"Participant notes that MR display is loading while Meta is speaking out directions"
GTR,2025-12-01 12:49:27.574,951,"Meta tutorial explained scrolling and swiping hand gestures but did not explain selecting or back hand gestures"
GTR,2025-12-01 12:57:46.249,1450,"Participant was unaware that menu screens could be found scrolling side to side and was attempting to scroll up and down to navigate through main menus"
GTR,2025-12-01 12:58:59.693,1523,"Participant focusing on a solid color and notes that too many colors in the background make screen harder to see"
GTR,2025-12-01 13:00:05.236,1589,"Participant notes that white basket made screen noticeably less clear"
GTR,2025-12-01 13:00:37.969,1622,"Participant finds blue plaid blanket a difficult background to view screen"
GTR,2025-12-01 13:02:46.709,1750,"Participant notices that hand gestures are relatively responsive when playing hyper trail but can sometimes feel laggy"
GTR,2025-12-01 13:04:37.774,1861,"Participant notices that scrolling to the right is where the lag described with unresponsive gestures seems more obvious"
GTR,2025-12-01 13:07:16.154,2020,"Participant wonders if they are the “problem” and unsure if they are performing hand gestures correctly (they are)"
GTR,2025-12-01 13:15:55.720,2539,"Participant is surprised by the fact that I could not hear the audio since it sounded so loud in their ear"
GTR,2025-12-01 13:30:22.859,3406,"Participant says they could understand why someone would get dizzy while being on a video call while someone was moving around"
GTR,2025-12-01 13:37:58.470,3862,"Participant testing Meta under different conditions when it answers incorrectly or out of context"
GTR,2025-12-01 13:39:08.978,3933,"Participant notices that Meta reverts back to previous request for information"
GTR,2025-12-01 13:43:11.735,4175,"Participant is content with the way information is displayed on screen and describes it as easily legible while easy to absorb since Meta is describing in more detail through audio"
GTR,2025-12-01 13:49:28.867,4552,"Participant is content with the way that information is displayed on MR glasses as user can scroll through different listed items at their own pace"
GTR,2025-12-01 14:05:32.663,5516,"Participant struggling to find background conducive to visual clarity while sitting in green chair"
GTR,2025-12-01 14:07:09.109,5613,"Participant feels that they would perform better with a joystick rather than using their thumb while playing hyper trail"
GTR,2025-12-01 14:11:49.551,5893,"Participant says they could understand how someone’s hand might feel cramped performing the hand gestures repeatedly"
GTR,2025-12-01 14:12:23.940,5928,"Participant says they’ve broken their left thumb and would never be able to repeat hand gestures the way they’ve been doing so with their right hand"
