Participant ID,Timestamp,Global Time (seconds),Note
10005,2025-10-30 13:20:01.785,132,"Hypertrail: there was some glare so he adjusted the glasses"
10005,2025-10-30 13:20:47.972,178,"He’s swiping left and it is moving right- need to flip the band"
10005,2025-10-30 13:25:42.795,473,"Hand gesture is now matching"
10005,2025-10-30 13:26:30.228,520,"Lost in the apps, lost hypertrail"
10005,2025-10-30 13:27:32.976,583,"What’s app taking a while to load"
10005,2025-10-30 13:33:12.814,923,"Text app not loading"
10005,2025-10-30 13:35:01.317,1031,"Picks up a record- cannot continue with response 
Able to accurately ID the room 
Still cannot ID the record"
10005,2025-10-30 13:35:48.683,1079,"Painting- could not ID the artist"
10005,2025-10-30 13:36:52.999,1143,"ID correctly why lamp isn’t working"
10005,2025-10-30 13:37:36.414,1186,"Got the words correct on the poster"
10005,2025-10-30 13:41:40.338,1430,"Stuck in menu"
10005,2025-10-30 13:42:57.363,1507,"Tricky- selecting the phone you have Togo down an over to get to the apps"
