Participant ID,Timestamp,Global Time (seconds),Note
10005,2025-10-30 13:20:01.785,132,"Hypertrail: there was some glare so he adjusted the glasses"
10005,2025-10-30 13:20:47.972,178,"He’s swiping left and it is moving right- need to flip the band"
10005,2025-10-30 13:25:42.795,473,"Hand gesture is now matching"
10005,2025-10-30 13:26:30.228,520,"Lost in the apps, lost hypertrail"
10005,2025-10-30 13:27:32.976,583,"What’s app taking a while to load"
10005,2025-10-30 13:33:12.814,923,"Text app not loading"
10005,2025-10-30 13:35:01.317,1031,"Picks up a record- cannot continue with response 
Able to accurately ID the room 
Still cannot ID the record"
10005,2025-10-30 13:35:48.683,1079,"Painting- could not ID the artist"
10005,2025-10-30 13:36:52.999,1143,"ID correctly why lamp isn’t working"
10005,2025-10-30 13:37:36.414,1186,"Got the words correct on the poster"
10005,2025-10-30 13:41:40.338,1430,"Stuck in menu"
10005,2025-10-30 13:42:57.363,1507,"Tricky- selecting the phone you have Togo down an over to get to the apps"
10005,2025-10-30 13:44:33.118,1603,"Click on the name to send photos it goes blank. Need to reconnect to what’s app"
10005,2025-10-30 13:46:22.247,1712,"Overstimulated because of being on the phone, connecting the app, and back ground noise"
10005,2025-10-30 13:50:53.860,1984,"Looking all over and can see the screen. I have 4 hands and it was a bit jarring and straining"
10005,2025-10-30 13:53:11.148,2121,"As he has worn the glasses he’s now getting use to looking through the glasses and not just on the screen"
10005,2025-10-30 13:55:13.295,2243,"Only recorded for one second because he didn’t hold it"
10005,2025-10-30 13:56:52.629,2343,"Dictation words worked including filler words"
10005,2025-10-30 13:57:15.172,2365,"Went back when he didn’t mean to"
